"arm","perm","mode","n_tested","n_significant","batch_in_model","failed"
"ablate_exclusive",32,"balanced",10407,822,TRUE,FALSE
"ablate_tmmwsp",32,"balanced",13126,1093,TRUE,FALSE
"ablate_priorcount",32,"balanced",13126,1032,TRUE,FALSE
"ablate_fdr",32,"balanced",13126,405,TRUE,FALSE
"ablate_shrinkfloor",32,"balanced",13126,1032,TRUE,FALSE
"ablate_lowinput",32,"balanced",13126,1032,TRUE,FALSE
"batch_removed",32,"balanced",8508,2470,FALSE,FALSE
"batch_ignored",32,"balanced",8508,2897,FALSE,FALSE
"fix_filter",32,"balanced",13075,1024,TRUE,FALSE
"ctc_pipeline",33,"balanced",13170,995,TRUE,FALSE
"edger_default",33,"balanced",6156,213,TRUE,FALSE
"ablate_filter",33,"balanced",8922,523,TRUE,FALSE
"ablate_exclusive",33,"balanced",10407,813,TRUE,FALSE
"ablate_tmmwsp",33,"balanced",13170,1204,TRUE,FALSE
"ablate_priorcount",33,"balanced",13170,995,TRUE,FALSE
"ablate_fdr",33,"balanced",13170,526,TRUE,FALSE
"ablate_shrinkfloor",33,"balanced",13170,995,TRUE,FALSE
"ablate_lowinput",33,"balanced",13170,995,TRUE,FALSE
"batch_removed",33,"balanced",8553,2472,FALSE,FALSE
"batch_ignored",33,"balanced",8553,2776,FALSE,FALSE
"fix_filter",33,"balanced",13120,990,TRUE,FALSE
"ctc_pipeline",34,"balanced",13213,993,TRUE,FALSE
"edger_default",34,"balanced",6156,141,TRUE,FALSE
"ablate_filter",34,"balanced",8962,478,TRUE,FALSE
"ablate_exclusive",34,"balanced",10407,714,TRUE,FALSE
"ablate_tmmwsp",34,"balanced",13213,978,TRUE,FALSE
"ablate_priorcount",34,"balanced",13213,993,TRUE,FALSE
"ablate_fdr",34,"balanced",13213,497,TRUE,FALSE
"ablate_shrinkfloor",34,"balanced",13213,993,TRUE,FALSE
"ablate_lowinput",34,"balanced",13213,993,TRUE,FALSE
"batch_removed",34,"balanced",8593,2508,FALSE,FALSE
"batch_ignored",34,"balanced",8593,2993,FALSE,FALSE
"fix_filter",34,"balanced",13162,985,TRUE,FALSE
"ctc_pipeline",35,"balanced",13162,1137,TRUE,FALSE
"edger_default",35,"balanced",6156,165,TRUE,FALSE
"ablate_filter",35,"balanced",8914,548,TRUE,FALSE
"ablate_exclusive",35,"balanced",10407,909,TRUE,FALSE
"ablate_tmmwsp",35,"balanced",13162,1116,TRUE,FALSE
"ablate_priorcount",35,"balanced",13162,1137,TRUE,FALSE
"ablate_fdr",35,"balanced",13162,648,TRUE,FALSE
"ablate_shrinkfloor",35,"balanced",13162,1137,TRUE,FALSE
"ablate_lowinput",35,"balanced",13162,1137,TRUE,FALSE
"batch_removed",35,"balanced",8545,2604,FALSE,FALSE
"batch_ignored",35,"balanced",8545,2935,FALSE,FALSE
"fix_filter",35,"balanced",13113,1122,TRUE,FALSE
"ctc_pipeline",36,"balanced",13223,1044,TRUE,FALSE
"edger_default",36,"balanced",6156,186,TRUE,FALSE
"ablate_filter",36,"balanced",8976,541,TRUE,FALSE
"ablate_exclusive",36,"balanced",10407,720,TRUE,FALSE
"ablate_tmmwsp",36,"balanced",13223,1117,TRUE,FALSE
